address,liquid_uxki,staked_uxki,unbonding_uxki,rewards_uxki,total_uxki,total_xki
ki1k9agjjtzfs3crtlvu6d9ud0sx3h2pplrvz7x8g,54105454632,0,0,0,54105454632,54105.454632
ki1gg7lld0dzerfhtc8386f0naqdtstzkynld2rj3,53957185000,9997000300,0,0,63954185300,63954.1853
ki1vn7vkzx9yf228p0shwswmzkmx00jzhc395uayw,53952868731,427770068366,0,3944001727,485666938824,485666.938824
ki1yav968y6mzrg7nlzdw95ga4cydzrdyvjszrlh0,53824211702,34998000100,0,1572664666,90394876468,90394.876468
ki16vuyv57wlrt9ggsn3uxyul5qemqft3phzz3t6y,53722000000,0,0,0,53722000000,53722
ki1lx993z08w4j9j622fs648qswuc98vfhdxa6e9d,53058759053,28405702845,0,1301473784,82765935682,82765.935682
ki1jnzhg8astxdgqwc032c9h3rsgps9a2v66sex72,53040311165,76668100568,0,5809248314,135517660047,135517.660047
ki1059y479dlxv24ex7xpk65f99436sk5n9fpd032,52745921046,0,0,0,52745921046,52745.921046
ki1nsc0zu944gcn0gp5h3t3sdd0k562t3nddu3ydf,52577172947,99940014998,0,3496650916,156013838861,156013.838861
ki1fx9hsl9kv0506v88vc5q77fdhfu97u6y7ljnqa,52207201018,26383034625,0,3072095557,81662331200,81662.3312
ki175s5ps6trgrdrvvfwy9z0egue5d76k2yw6v3k6,52093141088,55169537611,0,5521669326,112784348025,112784.348025
ki1c4qa5egl3sy2ysavm3606tcrfutsf7uyrmk53t,52077768118,0,0,0,52077768118,52077.768118
ki1lykm0h574w0r3jm545hhlfnd8937a7007dgzdp,51520150565,0,0,0,51520150565,51520.150565
ki1d3hpxh8s7hf5mlsq60vs2kz6ply67etcumpzm8,50755144063,0,0,0,50755144063,50755.144063
ki1yy8rnk7ny8ue4lqwejjjmv55h2g20mkgnsrfhe,50623000000,0,0,0,50623000000,50623
ki1r4pvf0vkgvac4gryv28fy2y0km7yfg94plhhu3,50599425168,0,0,0,50599425168,50599.425168
ki1yw0p2000uvahyqffawxnxaa3r0rc2fges9yemd,50577710590,9997000,0,0,50587707590,50587.70759
ki1rkv73kghd6983dvc49vker6nkn934mprvlpd5m,50360092500,9997000,0,0,50370089500,50370.0895
ki1307pzkzklw6ae4hnpqvr3mnxrga3qlrh7ne9d0,50044308985,16242497107,0,1701138839,67987944931,67987.944931
ki1q0xr7ma8wc0dhdh46acp70e0g0x6cm58fst8mf,50000991667,2629517918,0,546909087,53177418672,53177.418672
ki1xd02pwk4xv00nx69vmz7p9ec8se70dcvhx53se,50000000000,0,0,0,50000000000,50000
ki1v86ktzxrsxlrchnkds8c00qxtg30k4lem6xaym,50000000000,0,0,0,50000000000,50000
ki1u5eldjpleqd56d4d0ceessavzs42qatra7252c,50000000000,0,0,0,50000000000,50000
ki1nef5jnwxtnly9t96mr5asyu9cr02cxtf86jpef,50000000000,0,0,0,50000000000,50000
ki1c0gxzr646avkretelal82whcvs0cd7ty0uxhuz,50000000000,0,0,0,50000000000,50000
ki17t6zlf9u744qu2s8nqce3dc3drzt6937d6fqjy,50000000000,0,0,0,50000000000,50000
ki13wsl7y9tyq49cprhx9qumufruwedeysjg9jmkm,49999997420,0,0,0,49999997420,49999.99742
ki1ertsy0nnwy2t7sw0u3093sqsjt3z7hkengcm72,49999992500,149955004500,0,0,199954997000,199954.997
ki1yu4jfqq8ee7pxcesknmtl9t0vzj2ve03lz3mek,49992007848,9997000,0,0,50002004848,50002.004848
ki1dpxfwgt60hcgpx4dxhzq3s209cmkqssy64szl7,49291953859,0,0,0,49291953859,49291.953859
ki19whh9reelqjxkencc52ga9lh45kcqxhqkjdpfn,48618180512,0,0,0,48618180512,48618.180512
ki156fmcjwlzgj8gt9h8zh43phmc4p9xmjcnr2m7x,48100000000,0,0,0,48100000000,48100
ki14na6tn5eq53mqj9qapv4dff0uq4zyny9fnxcfj,47734649355,399001149038,0,21996864872,468732663265,468732.663265
ki1m4d77l92287xwhjhmt35efffk7uuv0nazvheml,47109365030,0,0,0,47109365030,47109.36503
ki17avjuje07dkgexfjyrf6j8v36ltc5exkfxv5jy,46091760331,0,0,0,46091760331,46091.760331
ki14kkfl87vkzxpj038gpc8yw7al8s2zz0h366txz,43098634428,0,0,0,43098634428,43098.634428
ki1gl055j4dvrz42gzn46tjfvsdty2d4a3d427q4s,42098319400,0,0,0,42098319400,42098.3194
ki1w8l9j6uj9z0qqrj79yet5uzcn8eeq4l0awx8ps,41739041003,510000000000,0,125442771303,677181812306,677181.812306
ki1uvlhs4p65u6fvqjy00xna4c22fzyvflf8lqe00,41568562515,0,0,0,41568562515,41568.562515
ki1jxfc83s0u24krspmcnck9mlslatd7dr00gdhq9,41523471470,1499250164985,0,24208171161,1564981807616,1564981.807616
ki14agjn8npneyfh663tz2v2u3f3z0f69xap78fm8,40559987400,0,0,0,40559987400,40559.9874
ki1yh46h93df9wtj064c7qqsh4qlqtlgks4xhxzlq,40474016004,0,0,0,40474016004,40474.016004
ki1842zy5jjfcafym3ylkx27rlz2953ga4dqnxku5,40462026674,0,0,0,40462026674,40462.026674
ki1jxv0u20scum4trha72c7ltfgfqef6nscr89qsm,40224583738,0,0,0,40224583738,40224.583738
ki1ss8f0e6k2t6t4zwl6tnv3d6lx6h5yvlnurmraz,40021140535,109989000551,0,37516765254,187526906340,187526.90634
ki1ugku28hwyexpljrrmtet05nd6kjlrvr9t5caaf,39808995293,0,0,0,39808995293,39808.995293
ki19xvpcdkxwx6j09cnxv8df6lhaxcl7n6erc32rc,39602201739,0,0,0,39602201739,39602.201739
ki14g04ys2gjf9aczvkg98tvuacyk8zv2eeskxjml,38774896316,0,0,0,38774896316,38774.896316
ki10swncesttzfs7w07jpjs0jleqwcpgvf7kmje04,38455864010,74955011248,0,2634795899,116045671157,116045.671157
ki1dew27asks0zzmllwlm7rs3dp5uxphclyu4ktk7,38348932175,499850015001,0,0,538198947176,538198.947176
ki1uwk56yhwhqervrska64njjwa5w3fwjxdqyfsh6,37816434301,0,0,0,37816434301,37816.434301
ki1fr3kyc3jlheeexe7pz6aatp2zuexl6c9zfsccy,37596965121,0,0,0,37596965121,37596.965121
ki10eg6dlje9hnxekvkazm8hrvm5xe6qekynn7zh0,37500992500,0,0,0,37500992500,37500.9925
ki1vhhk04459mj4564h6egpnz0we7pk8mqgu0927t,37500000000,0,0,0,37500000000,37500
ki16vmj0exjl4yh96zlm86rwpxgqmazgzkkv65kg5,37500000000,0,0,0,37500000000,37500
ki1d5f76w9ywssx5d9yt4ukzv6w6t6khsy5lr5vcs,37470857714,155590083406,0,670380480,193731321600,193731.3216
ki13z4rmd06my9qyfyzak8mec08syhahwthhsegh8,37305820904,13734660,0,1743140,37321298704,37321.298704
ki1wm558q2pxmqmkymq8rl77fn5rew7y2pfg9vrer,37116000000,0,0,0,37116000000,37116
ki14qa4qpf2gy3fntcfupk87sp64s67p4cqhgunzf,36077622715,49985001500,0,0,86062624215,86062.624215
ki1qz7700e7kglazdkjvgpdkj3wvaukv34azwe5zg,36028540689,105228742392,0,6689070083,147946353164,147946.353164
ki19d5x595693rjkqrp9vlzxqkxp9e4ax0kcux0n4,35263907910,653855914941,0,17980062791,707099885642,707099.885642
ki1upg0s7whsuyymcsz69q6h2u65f2jflfweayv2h,35089616453,499850015001,0,0,534939631454,534939.631454
ki1sc28ue5sypqf85pdufptyd76nn4nm54nzjc2np,34669250124,0,0,0,34669250124,34669.250124
ki1crhzhedjht3085nwyuucpc7stugzs224cj4g5z,34518823196,0,0,0,34518823196,34518.823196
ki1yffmhp32xuah0kwpqpe5ecs8jwvrtjmk6lw7ls,34370536564,0,0,0,34370536564,34370.536564
ki1e08t9ef7s7hp5qqk28ezynjy7npfn2vw7kf5tt,34151580152,44852661673,0,4916521541,83920763366,83920.763366
ki1usae623cjyyug9ew6ya9ne7pnku2sgmw2tw384,33749977500,0,0,0,33749977500,33749.9775
